,rating,n_reviews,f_rating,s_rating,v_rating,about,price_range,s_diets,cuisines,features,Name,URL,name_letter
0,5.0,1139 ,5.0,5.0,4.5,,?20 - ?30,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Wine Bar, Indian, Contemporary, Street Food",,Bonoo Indian Tapas,https://www.tripadvisor.com/Restaurant_Review-g186338-d10460592-Reviews-Bonoo_Indian_Tapas-London_England.html,bonooindiantapas
1,5.0,183 ,5.0,5.0,5.0,"Vegan Palestinian and Lebanese food for eat-in and takeaway. Hot falafel, made in-house throughout the day and a range of fresh, healthy hot and cold dishes in build-your-own salad boxes and wraps.",?6 - ?10,"Vegetarian Friendly, Vegan Options, Gluten Free Options, Halal","Lebanese, Mediterranean, Middle Eastern, Fast Food, Healthy","Delivery, Takeout, Seating, Accepts Credit Cards",Hibox,https://www.tripadvisor.com/Restaurant_Review-g186338-d21302648-Reviews-Hibox-London_England.html,hibox
2,5.0,139 ,5.0,5.0,5.0,,?4 - ?8,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Cafe, British",,Devine Restaurant Coffee Bar,https://www.tripadvisor.com/Restaurant_Review-g186338-d13082910-Reviews-Devine_Restaurant_Coffee_Bar-London_England.html,devinerestaurantcoffeebar
3,5.0,1693 ,4.5,4.5,4.5,"Quintessential heart of Soho, Scarlett Green has been the proud title holder of Number One brunch Spot in the World on TripAdvisor. Spend intimate evenings chatting and indulging in our ÃÂ¢ÃÂÃÂSc",,"Breakfast, Lunch, Dinner, Brunch, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service",Scarlett Green,https://www.tripadvisor.com/Restaurant_Review-g186338-d14134252-Reviews-Scarlett_Green-London_England.html,scarlettgreen
5,5.0,185 ,5.0,5.0,5.0,"Try the best; You must check out our exceptional menu that aims to prove that you can go to one place.for every meal, whatever time of day. As well as our range of fry-up, to the Spotted dick and trea",,"Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Vegetarian Friendly, Vegan Options","Takeout, Seating, Free Wifi, Accepts Credit Cards, Table Service, Highchairs Available, Digital Payments, Family style, Non-smoking restaurants",Nora Cafe,https://www.tripadvisor.com/Restaurant_Review-g186338-d19982460-Reviews-Nora_Cafe-London_England.html,noracafe
6,4.5,890 ,4.5,4.5,4.0,"We have evolved our cuisine over the years to reflect the fine artistry in Indian cooking. We incorporate modern cooking techniques, whilst maintaining an authentic traditional taste. Our food, servic",?36 - ?90,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Indian, Asian","Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Tabl",Bayleaf Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d5856902-Reviews-Bayleaf_Restaurant-London_England.html,bayleafrestaurant
7,5.0,711 ,5.0,5.0,5.0,Innovative vegan dishes and heart-warming classics are lovingly prepared on the premises by our chefs on a daily basis. The food is made from scratch with an emphasis on taking simple ingredients and ,?6 - ?30,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Indian, Asian, Healthy","Delivery, Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Free Wifi, Accepts Credit Cards, Table Service, Digital Payments, BYOB, Gift Cards Available",Amrutha Lounge,https://www.tripadvisor.com/Restaurant_Review-g186338-d13544747-Reviews-Amrutha_Lounge-London_England.html,amruthalounge
8,5.0,2764 ,4.5,4.5,4.5,"Located at the heart of Camden, offering delicious Greek and Mediterranean Cuisine, cooked on original charcoal grill. For private, group and special occasions. Enjoy the surroundings of our indoor ga",?12 - ?36,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Mediterranean, Greek, International, Contemporary","Takeout, Reservations, Private Dining, Highchairs Available, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Gift Cards Available",Alexander The Great,https://www.tripadvisor.com/Restaurant_Review-g186338-d5122082-Reviews-Alexander_The_Great-London_England.html,alexanderthegreat
9,5.0,2052 ,4.5,5.0,4.5,,,Dinner,"Mediterranean, European, Greek, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",Andy's Greek Taverna,https://www.tripadvisor.com/Restaurant_Review-g186338-d10440481-Reviews-Andy_s_Greek_Taverna-London_England.html,andysgreektaverna
10,4.5,925 ,4.5,4.5,4.0,,?14 - ?30,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Indian, Bangladeshi",,Muhib Indian Cuisine,https://www.tripadvisor.com/Restaurant_Review-g186338-d2064495-Reviews-Muhib_Indian_Cuisine-London_England.html,muhibindiancuisine
11,4.5,596 ,4.5,4.5,4.5,"A Friendly casual , yet chic Lebanese / Mediterranean Cuisine with a rich wine list and a great selection for vegans and vegetarians.",?8 - ?30,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lebanese, Mediterranean, Middle Eastern","Delivery, Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free",Chamisse,https://www.tripadvisor.com/Restaurant_Review-g186338-d3681424-Reviews-Chamisse-London_England.html,chamisse
12,5.0,214 ,5.0,5.0,5.0,Spasso is a unique Italian restaurant and bar with Southern Italian cuisine and funky cocktails.,?8 - ?48,"Vegetarian Friendly, Vegan Options","Italian, Mediterranean, Neapolitan, Campania, Southern-Italian","Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Gift Cards Available",Spasso,https://www.tripadvisor.com/Restaurant_Review-g186338-d19127403-Reviews-Spasso-London_England.html,spasso
13,4.5,844 ,4.5,4.5,4.5,,,"Lunch, Dinner, Drinks, Late Night","Indian, Asian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",Indian Moment,https://www.tripadvisor.com/Restaurant_Review-g186338-d804653-Reviews-Indian_Moment-London_England.html,indianmoment
14,5.0,1419 ,5.0,5.0,5.0,,?15 - ?20,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Indian, Healthy",,Taste Of Nawab,https://www.tripadvisor.com/Restaurant_Review-g186338-d813149-Reviews-Taste_Of_Nawab-London_England.html,tasteofnawab
15,5.0,77 ,5.0,5.0,5.0,,,"Lunch, Dinner","Asian, Thai","Vegetarian Friendly, Vegan Options, Gluten Free Options",Awesome Thai #Finchley,https://www.tripadvisor.com/Restaurant_Review-g186338-d21498814-Reviews-Awesome_Thai_Finchley-London_England.html,awesomethai#finchley
16,5.0,117 ,5.0,5.0,5.0,,,"Lunch, Dinner",Fast Food,"Vegetarian Friendly, Gluten Free Options, Vegan Options",Bruce Burgers,https://www.tripadvisor.com/Restaurant_Review-g186338-d12923460-Reviews-Bruce_Burgers-London_England.html,bruceburgers
17,5.0,125 ,5.0,5.0,5.0,,,"Breakfast, Brunch, Lunch","Lebanese, Cafe, Deli, Middle Eastern","Vegetarian Friendly, Vegan Options",Tania's of Hampstead,https://www.tripadvisor.com/Restaurant_Review-g186338-d7337074-Reviews-Tania_s_of_Hampstead-London_England.html,taniasofhampstead
18,4.5,754 ,4.5,4.5,4.5,,?20 - ?60,"Vegetarian Friendly, Vegan Options, Gluten Free Options","British, International",,The Park Room,https://www.tripadvisor.com/Restaurant_Review-g186338-d1017662-Reviews-The_Park_Room-London_England.html,theparkroom
19,5.0,203 ,4.5,5.0,4.5,,?5 - ?12,Vegetarian Friendly,"Italian, Wine Bar, Mediterranean, European, Sicilian, Southern-Italian",,The Wine Place Covent Garden,https://www.tripadvisor.com/Restaurant_Review-g186338-d15828579-Reviews-The_Wine_Place_Covent_Garden-London_England.html,thewineplacecoventgarden
20,5.0,345 ,4.5,5.0,4.5,,?4 - ?11,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Cafe, European, British, International",,Cafe Parisienne,https://www.tripadvisor.com/Restaurant_Review-g186338-d6171524-Reviews-Cafe_Parisienne-London_England.html,cafeparisienne
21,5.0,413 ,5.0,5.0,4.5,,?20 - ?45,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Italian, Seafood, Mediterranean, European, Sicilian, Southern-Italian",,Manuel's Restaurant and Bar,https://www.tripadvisor.com/Restaurant_Review-g186338-d5784898-Reviews-Manuel_s_Restaurant_and_Bar-London_England.html,manuelsrestaurantandbar
22,4.5,1945 ,4.5,4.5,4.5,,?20 - ?30,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Indian, Asian, Balti",,The Rajdoot,https://www.tripadvisor.com/Restaurant_Review-g186338-d1044584-Reviews-The_Rajdoot-London_England.html,therajdoot
23,5.0,616 ,5.0,5.0,4.5,,?15 - ?40,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Indian, Asian, Grill",,The Rajdoot Hampstead,https://www.tripadvisor.com/Restaurant_Review-g186338-d15614126-Reviews-The_Rajdoot_Hampstead-London_England.html,therajdoothampstead
24,4.5,1208 ,4.5,4.5,4.5,"Nestled in the quaint residential streets of Kensington, Launceston Place is an award winning hidden gem. The Head Chef Ben Murphy, was named Chef to Watch 2016 by The Good Food Guide and took home th",?33 - ?95,"Vegetarian Friendly, Vegan Options, Gluten Free Options","European, British","Free Wifi, Reservations, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Accepts Credit Cards, T",Launceston Place,https://www.tripadvisor.com/Restaurant_Review-g186338-d719675-Reviews-Launceston_Place-London_England.html,launcestonplace
25,5.0,156 ,5.0,5.0,5.0,"Trendy bar in Battersea, serving cocktails, local craft beer, boutique drinks, modern Middle Eastern food. Live jazz jamming sessions on Fridays, Saturdays and Sundays, and stand-up comedy on Wednesda",?8 - ?26,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Mediterranean, Middle Eastern, Persian, Pub","Reservations, Outdoor Seating, Seating, Street Parking, Free off-street parking, Serves Alcohol, Full Bar, Wine and Beer, Accepts Credit Cards, Table Service, Wheelchair Accessible, Free Wifi, Live Mu",Room 43 Bar & Kitchen,https://www.tripadvisor.com/Restaurant_Review-g186338-d12830540-Reviews-Room_43_Bar_Kitchen-London_England.html,room43bar&kitchen
26,5.0,742 ,5.0,5.0,4.5,"Paladar is an award-winning restaurant and wine shop showcasing the best of Latin American food, wines, spirits, cocktails, coffee, music and contemporary art. The creative cuisine served as sharing p",?18 - ?36,"Vegetarian Friendly, Vegan Options, Gluten Free Options","South American, Latin, Contemporary, Fusion","Reservations, Outdoor Seating, Private Dining, Seating, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, Accepts American Express, Accepts",Paladar,https://www.tripadvisor.com/Restaurant_Review-g186338-d13110566-Reviews-Paladar-London_England.html,paladar
27,5.0,366 ,5.0,5.0,5.0,,?6 - ?17,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Cafe, European, British",,Dobar,https://www.tripadvisor.com/Restaurant_Review-g186338-d15211822-Reviews-Dobar-London_England.html,dobar
28,4.5,920 ,4.0,4.0,4.0,"Established in 1992, Eastern Eye Balti House is one of the oldest curry house's on the famous Brick Lane. Family owned and boast a number of high profile clientele's. Authentic curry and recently won ",?12 - ?36,"Vegetarian Friendly, Vegan Options, Halal","Indian, Asian, Balti, Bangladeshi","Delivery, Full Bar, Takeout, Reservations, Seating, Street Parking, Free off-street parking, Television, Highchairs Available, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Table Se",Eastern Eye Balti House,https://www.tripadvisor.com/Restaurant_Review-g186338-d1735578-Reviews-Eastern_Eye_Balti_House-London_England.html,easterneyebaltihouse
