restaurant_name,address,phone_number,website,hygiene_rating,about,cuisines,features,special_diets,tripadvisor_url,tripadvisor_price_range,tripadvisor_food_rating,tripadvisor_overall_rating,tripadvisor_value_rating,google_price_level,google_rating,google_total_ratings,yelp_price,yelp_rating,yelp_review_count
Bonoo Indian Tapas,"675 Finchley Rd, London NW2 2JP, UK",020 7794 8899,http://www.bonoo.co.uk/,5,"","Wine Bar, Indian, Contemporary, Street Food","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d10460592-Reviews-Bonoo_Indian_Tapas-London_England.html,?20 - ?30,5.0,5.0,4.5,2,4.9,1342,"",5,1
Hibox,"48 Goodge St, London W1T 4LX, UK",020 7580 9312,https://www.hibahibox.com/,1,"Vegan Palestinian and Lebanese food for eat-in and takeaway. Hot falafel, made in-house throughout the day and a range of fresh, healthy hot and cold dishes in build-your-own salad boxes and wraps.","Lebanese, Mediterranean, Middle Eastern, Fast Food, Healthy","Delivery, Takeout, Seating, Accepts Credit Cards","Vegetarian Friendly, Vegan Options, Gluten Free Options, Halal",https://www.tripadvisor.com/Restaurant_Review-g186338-d21302648-Reviews-Hibox-London_England.html,?6 - ?10,5.0,5.0,5.0,no price level,4.9,207,"","",""
Scarlett Green,"4 Noel St, London W1F 8GB, UK",020 3653 2010,http://www.daisygreenfood.com/,5,"Quintessential heart of Soho, Scarlett Green has been the proud title holder of Number One brunch Spot in the World on TripAdvisor. Spend intimate evenings chatting and indulging in our ÃÂ¢ÃÂÃÂSc","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service","Breakfast, Lunch, Dinner, Brunch, Drinks",https://www.tripadvisor.com/Restaurant_Review-g186338-d14134252-Reviews-Scarlett_Green-London_England.html,"",4.5,5.0,4.5,2,4.4,656,"",4,5
Nora Cafe,"9 Wentworth St, London E1 7TB, UK",020 7247 4992,http://www.noracafe.co.uk/,5,"Try the best; You must check out our exceptional menu that aims to prove that you can go to one place.for every meal, whatever time of day. As well as our range of fry-up, to the Spotted dick and trea","Vegetarian Friendly, Vegan Options","Takeout, Seating, Free Wifi, Accepts Credit Cards, Table Service, Highchairs Available, Digital Payments, Family style, Non-smoking restaurants","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks",https://www.tripadvisor.com/Restaurant_Review-g186338-d19982460-Reviews-Nora_Cafe-London_England.html,"",5.0,5.0,5.0,no price level,4.8,142,£,5,3
Bayleaf Restaurant,"1282-1284 High Rd, London N20 9HH, UK",020 8446 8671,http://www.bayleaf.co.uk/restaurant/,5,"We have evolved our cuisine over the years to reflect the fine artistry in Indian cooking. We incorporate modern cooking techniques, whilst maintaining an authentic traditional taste. Our food, servic","Indian, Asian","Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Tabl","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d5856902-Reviews-Bayleaf_Restaurant-London_England.html,?36 - ?90,4.5,4.5,4.0,2,4.5,292,££,3,3
Amrutha Lounge,"326 Garratt Ln, London SW18 4EJ, UK",020 8001 4628,http://www.amrutha.co.uk/,4,Innovative vegan dishes and heart-warming classics are lovingly prepared on the premises by our chefs on a daily basis. The food is made from scratch with an emphasis on taking simple ingredients and,"Indian, Asian, Healthy","Delivery, Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Free Wifi, Accepts Credit Cards, Table Service, Digital Payments, BYOB, Gift Cards Available","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d13544747-Reviews-Amrutha_Lounge-London_England.html,?6 - ?30,5.0,5.0,5.0,1,4.9,879,"",5,3
Andy's Greek Taverna,"23 Pratt St., London NW1 0BG, UK",020 7485 9718,https://www.andystaverna.co.uk/,"","","Mediterranean, European, Greek, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",Dinner,https://www.tripadvisor.com/Restaurant_Review-g186338-d10440481-Reviews-Andy_s_Greek_Taverna-London_England.html,"",4.5,5.0,4.5,2,4.6,1696,£,5,27
Muhib Indian Cuisine,"73 Brick Ln, London E1 6QL, UK",020 7247 7122,http://www.muhibindiancuisine.com/,4,"","Indian, Bangladeshi","","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d2064495-Reviews-Muhib_Indian_Cuisine-London_England.html,?14 - ?30,4.5,4.5,4.0,2,4.5,544,££,4,77
Chamisse,"55 Grays Inn Rd, London WC1X 8PP, UK",020 7430 0799,http://www.chamisse.com/,3,"A Friendly casual , yet chic Lebanese / Mediterranean Cuisine with a rich wine list and a great selection for vegans and vegetarians.","Lebanese, Mediterranean, Middle Eastern","Delivery, Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d3681424-Reviews-Chamisse-London_England.html,?8 - ?30,4.5,4.5,4.5,2,4.6,679,££,5,15
Spasso,"61 Walm Ln, London NW2 4QR, UK",020 8450 7722,http://spassolondon.co.uk/,4,Spasso is a unique Italian restaurant and bar with Southern Italian cuisine and funky cocktails.,"Italian, Mediterranean, Neapolitan, Campania, Southern-Italian","Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Gift Cards Available","Vegetarian Friendly, Vegan Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d19127403-Reviews-Spasso-London_England.html,?8 - ?48,5.0,5.0,5.0,no price level,4.9,208,"","",""
